,CID,mol_id,action,CID_id,mol_id_id,id
481,2315,179791,inhibitor,167,1201,0
482,2343,179791,inhibitor,246,1201,0
483,2910,179791,inhibitor,270,1201,0
484,4100,179791,inhibitor,323,1201,0
485,3647,179791,inhibitor,368,1201,0
486,5284549,179791,inhibitor,421,1201,0
487,5734,179791,inhibitor,447,1201,0
488,3038,179791,inhibitor,606,1201,0
489,68844,179791,inhibitor,633,1201,0
490,10340,179791,inhibitor,1018,1201,0
491,4463,896047,inhibitor,49,1203,0
492,5481350,896047,inhibitor,92,1203,0
493,35370,896047,inhibitor,204,1203,0
494,64139,896047,inhibitor,282,1203,0
495,18283,896047,inhibitor,294,1203,0
496,5625,896047,inhibitor,324,1203,0
497,60825,896047,inhibitor,327,1203,0
498,60877,896047,inhibitor,426,1203,0
499,50599,896047,inhibitor,441,1203,0
500,24066,896047,inhibitor,467,1203,0
501,441300,896047,inhibitor,541,1203,0
502,6451164,896047,inhibitor,919,1203,0
503,9574768,896047,inhibitor,1011,1203,0
504,20279,36065,inhibitor,51,1205,0
505,60750,36065,inhibitor,170,1205,0
506,119182,36065,inhibitor,285,1205,0
507,3657,36065,inhibitor,510,1205,0
508,657237,36065,inhibitor,555,1205,0
509,20279,7229086,inhibitor,51,1206,0
510,20279,35568,inhibitor,51,1207,0
511,119182,35568,inhibitor,285,1207,0
512,657237,35568,inhibitor,555,1207,0
513,3011155,35568,inhibitor,683,1207,0
514,20279,3192938,inhibitor,51,1208,0
515,20279,2697123,inhibitor,51,1209,0
516,20279,8100806,inhibitor,51,1210,0
517,20279,21411517,inhibitor,51,1211,0
518,56959,758110,inhibitor,52,1213,0
519,3121,758110,inhibitor,100,1213,0
520,5734,758110,inhibitor,447,1213,0
521,4075,387018,inhibitor,53,1214,0
522,1983,387018,inhibitor,102,1214,0
523,3715,387018,inhibitor,109,1214,0
524,4409,387018,inhibitor,182,1214,0
525,3826,387018,inhibitor,184,1214,0
526,54677971,387018,inhibitor,187,1214,0
527,5509,387018,inhibitor,208,1214,0
528,54676228,387018,inhibitor,240,1214,0
529,3342,387018,inhibitor,252,1214,0
530,1548887,387018,inhibitor,269,1214,0
531,3394,387018,inhibitor,329,1214,0
532,4044,387018,inhibitor,373,1214,0
533,5359476,387018,inhibitor,377,1214,0
534,3059,387018,inhibitor,415,1214,0
535,60726,387018,inhibitor,479,1214,0
536,4614,387018,inhibitor,500,1214,0
537,6335412,387018,inhibitor,517,1214,0
538,3672,387018,inhibitor,542,1214,0
539,151166,387018,inhibitor,685,1214,0
540,5161,387018,inhibitor,721,1214,0
541,2206,387018,inhibitor,741,1214,0
542,5468,387018,inhibitor,750,1214,0
543,445154,387018,inhibitor,775,1214,0
544,54690031,387018,inhibitor,883,1214,0
545,71771,387018,inhibitor,886,1214,0
546,151075,387018,inhibitor,896,1214,0
547,39912,387018,inhibitor,979,1214,0
548,25213,387018,inhibitor,1025,1214,0
549,2466,387018,inhibitor,1077,1214,0
550,4075,2599558,inhibitor,53,1216,0
551,5359476,2599558,inhibitor,377,1216,0
552,12035,2599558,inhibitor,831,1216,0
