"","CID_id","mol_id","action_id"
"1483",217,1321,2
"1162",733,1389,2
"220",939,1351,1
"1261",500,1384,2
"1176",1113,1523,2
"3641",569,1324,0
"3178",189,1419,0
"1852",254,1336,2
"1143",842,1384,2
"944",1138,1343,2
"215",12,1255,1
"1918",1010,1341,2
"2494",301,1615,0
"2100",918,1383,7
"996",144,1504,2
"678",435,1242,1
"2269",1115,1410,11
"2382",975,1410,0
"2284",436,1358,11
"1585",931,1328,2
"1496",143,1384,2
"2855",1198,1711,0
"847",966,1235,2
"1977",125,1393,2
"1189",381,1259,2
"1758",1110,1410,2
"614",503,1353,1
"3831",926,1639,0
"17",1091,1948,10
"1612",1197,1266,2
"3823",1203,2021,0
"2312",280,1290,5
"1890",128,1259,2
"3915",1213,1592,0
"3532",39,1352,0
"1523",733,1285,2
"3404",666,1324,0
"3790",148,1348,0
"2894",265,1393,0
"470",608,1392,1
"845",745,1683,2
"3895",932,1418,0
"2890",632,1808,0
"2731",679,1580,0
"1384",86,1321,2
"1632",427,1410,2
"1848",293,1278,2
"2411",80,1367,0
"3838",952,1529,0
"1966",125,1414,2
"3787",831,1881,0
"1395",791,1387,2
"3873",183,1548,0
"1880",1138,1347,2
"1668",512,1432,2
"1463",1110,1513,2
"2450",600,1802,0
"660",895,1348,1
"1402",774,1291,2
"2395",1081,1410,0
"933",838,1384,2
"1866",522,1341,2
"757",12,1249,1
"1000",1138,1349,2
"3642",772,1866,0
"904",841,1384,2
"3256",898,1876,0
"3899",911,1379,0
"2655",426,1633,0
"1759",254,1388,2
"1560",457,1278,2
"3299",406,1698,0
"402",1070,1345,1
"2699",889,1238,0
"1842",941,1287,2
"3965",1170,1669,12
"3231",1005,1553,0
"2012",124,1288,2
"897",710,1337,2
"3725",1203,2000,0
"973",716,1349,2
"1102",350,1336,2
"2262",1228,1542,11
"950",771,1721,2
"3911",891,1415,0
"3472",807,1314,0
"3806",938,1316,0
"1771",710,1388,2
"1347",1028,1242,2
"28",848,1714,10
"2603",164,1527,0
"1330",496,1350,2
"1952",652,1345,2
"395",337,1398,1
"3606",201,1324,0
"1144",982,1435,2
"864",144,1506,2
"209",1160,1626,1
"76",537,1384,1
"959",370,1285,2
"2599",391,1521,0
"2060",965,1509,2
"3572",175,1524,0
"855",431,1440,2
"1001",155,1321,2
"2233",988,1456,7
"2676",681,1282,0
"2537",538,1556,0
"2047",986,1341,2
"257",144,1502,1
"1644",1035,1832,2
"893",652,1351,2
"1145",143,1285,2
"3673",963,1233,0
"2869",828,1553,0
"16",858,1331,10
"3693",636,1415,0
"179",1058,1248,1
"2350",1207,1625,0
"2919",311,1424,0
"2074",1208,1392,2
"3817",485,1663,0
"2039",251,1291,2
"2113",1153,1495,7
"2419",47,1237,0
"1891",1156,1380,2
"2087",254,1266,7
"3246",756,1862,0
"2516",145,1507,0
"1342",300,1278,2
"351",717,1510,1
"372",1086,1268,1
"3019",57,1374,0
"2116",148,1384,7
"1118",947,1589,2
"526",10,1244,1
"657",288,1388,1
"1996",375,1285,2
"109",412,1332,1
"2834",854,1891,0
"728",1108,1337,1
"3036",383,1282,0
"3583",859,1551,0
"3260",1203,1645,0
"2162",1153,1910,7
"3997",561,1771,13
"2402",175,1451,0
"1817",652,1259,2
"2082",170,1351,7
"3149",559,1402,0
"3563",112,1470,0
"1233",710,1341,2
"169",743,1291,1
"1494",935,1349,2
"32",709,1361,10
"1164",1140,1954,2
"2577",1077,1534,0
"3555",865,1233,0
"2662",265,1262,0
"194",852,1728,1
"1272",1095,1351,2
"776",86,1260,2
"3730",251,1284,0
"3735",1227,1380,0
"1123",429,1384,2
"4019",1068,1935,13
"611",684,1291,1
"1908",201,1321,2
"977",39,1278,2
"1661",444,1246,2
"2181",1220,2040,7
"184",1181,1396,1
"418",316,1421,1
"2271",1115,1523,11
"3906",112,1462,0
"3011",439,1557,0
"3454",415,1663,0
"459",593,1353,1
"312",173,1389,1
"3971",1160,1965,12
"899",61,1350,2
"1325",384,1414,2
"3451",157,1356,0
"2690",659,1516,0
"3164",81,1419,0
"3408",408,1701,0
"4",919,1434,10
"3556",1038,1529,0
"1061",1013,1353,2
"598",331,1343,1
"2231",370,1259,7
"925",125,1390,2
"2144",274,1321,7
"2886",1207,1856,0
"382",437,1278,1
"324",360,1350,1
"2186",1217,2038,7
"715",108,1331,1
"3272",667,1355,0
"3733",526,1753,0
"962",6,1239,2
"993",767,1721,2
"1622",1075,1321,2
"1892",888,1641,2
"1308",710,1385,2
"2999",415,1557,0
"1603",673,1663,2
"2223",63,1337,7
"1591",254,1261,2
"2916",87,1424,0
"1920",982,1288,2
"187",514,1344,1
"2957",958,1529,0
"8",278,1486,10
"1873",1197,1271,2
"4006",336,1251,13
"3958",683,1833,0
"1862",982,1430,2
"527",63,1386,1
"2770",1148,1367,0
"2324",671,1382,5
"782",404,1260,2
"1417",1096,1341,2
"3849",1038,1531,0
"3372",529,1354,0
"3263",121,1482,0
"438",927,1396,1
"869",652,1260,2
"1645",1108,1522,2
"1874",125,1343,2
"2947",275,1597,0
"3845",1034,1803,0
"1963",625,1480,2
"2472",526,1754,0
"3016",831,1882,0
"2197",370,1387,7
"3546",1041,1928,0
"3879",200,1455,0
"1391",1176,1269,2
"589",118,1476,1
"1863",916,1385,2
"1620",1156,1335,2
"2137",170,1348,7
"3054",981,1335,0
"1913",247,1472,2
"874",814,1278,2
"1286",1181,1235,2
"3184",160,1417,0
"1284",1132,1380,2
"3907",406,1586,0
"2578",1212,1233,0
"2960",629,1238,0
"3699",1199,1977,0
"1364",181,1546,2
"3521",1005,1473,0
"3816",883,1803,0
"31",284,1604,10
"3591",572,1781,0
"3251",205,1564,0
"2337",611,1311,5
"3884",485,1379,0
"1800",568,1779,2
"723",1054,1388,1
"822",710,1393,2
"295",1072,1756,1
"3909",1006,1825,0
"3125",201,1284,0
"331",890,1389,1
"3805",274,1543,0
"1281",2,1235,2
"1559",402,1337,2
"1294",251,1350,2
"3267",1203,1993,0
"2507",359,1553,0
"3570",1184,1973,0
"3387",121,1335,0
"3092",415,1238,0
"541",962,1350,1
"3136",955,1876,0
"1114",686,1836,2
"3854",291,1608,0
"326",876,1353,1
"2961",480,1573,0
"2736",1081,1412,0
"2859",734,1622,0
"643",235,1283,1
"1933",1197,1263,2
"2376",958,1528,0
"1829",921,1345,2
"730",906,1345,1
"2151",370,1393,7
"1345",1118,1349,2
"379",577,1486,1
"1580",327,1430,2
"3279",193,1339,0
"2152",148,1336,7
"2033",716,1343,2
"1051",468,1390,2
"1582",239,1249,2
"696",173,1388,1
"1217",665,1254,2
"1396",1218,1347,2
"1238",337,1398,2
"2355",882,1625,0
"3872",239,1284,0
"1054",689,1390,2
"1105",652,1384,2
"1903",118,1337,2
"2635",416,1306,0
"417",953,1756,1
"2858",1203,1471,0
"457",59,1381,1
"2545",125,1353,0
"2194",254,1262,7
